Species ID,Park Name,Category,Order,Family,Scientific Name,Common Names,Record Status,Occurrence,Nativeness,Abundance,Seasonality,Conservation Status,
ACAD-1430,Acadia National Park,Amphibian,Anura,Bufonidae,Bufo americanus,"American Toad, Common Toad",Approved,Present,Native,Uncommon,Breeder,,
ACAD-1431,Acadia National Park,Amphibian,Anura,Hylidae,Hyla versicolor,"Gray Treefrog, Rain Toad, Tree Toad",Approved,Not Present (Historical Report),Unknown,,,,
ACAD-1432,Acadia National Park,Amphibian,Anura,Hylidae,Pseudacris crucifer,Spring Peeper,Approved,Present,Native,Abundant,Breeder,,
ACAD-1433,Acadia National Park,Amphibian,Anura,Ranidae,Rana catesbeiana,Bullfrog,Approved,Present,Native,Common,Breeder,,
ACAD-1434,Acadia National Park,Amphibian,Anura,Ranidae,Rana clamitans,"Green Frog, Spring Frog",Approved,Present,Native,Common,Breeder,,
ACAD-1435,Acadia National Park,Amphibian,Anura,Ranidae,Rana palustris,Pickerel Frog,Approved,Present,Native,Abundant,Breeder,,
ACAD-1436,Acadia National Park,Amphibian,Anura,Ranidae,Rana pipiens,"Common Frog, Leopard Frog, Meadow Frog, Northern Leopard Frog",Approved,Not Present (Historical Report),Unknown,,,,
ACAD-1437,Acadia National Park,Amphibian,Anura,Ranidae,Rana sylvatica,Wood Frog,Approved,Present,Native,Common,Breeder,,
ACAD-1438,Acadia National Park,Amphibian,Caudata,Ambystomatidae,Ambystoma laterale,Blue-Spotted Salamander,Approved,Not Confirmed,Not Native,,,,
ACAD-1439,Acadia National Park,Amphibian,Caudata,Ambystomatidae,Ambystoma maculatum,Spotted Salamander,Approved,Present,Native,Common,Breeder,,
ACAD-1440,Acadia National Park,Amphibian,Caudata,Plethodontidae,Desmognathus fuscus,"Dusky Salamander, Northern Dusky Salamander",Approved,Present,Native,Common,Breeder,,
ACAD-1441,Acadia National Park,Amphibian,Caudata,Plethodontidae,Eurycea bislineata,"Northern Two-Lined Salamander, Two-Lined Salamander",Approved,Present,Native,Common,Breeder,,
ACAD-1442,Acadia National Park,Amphibian,Caudata,Plethodontidae,Hemidactylium scutatum,Four-Toed Salamander,Approved,Present,Native,Common,Breeder,,
ACAD-1443,Acadia National Park,Amphibian,Caudata,Plethodontidae,Plethodon cinereus,"Eastern Red-Backed Salamander, Northern Redback Salamander, Red-Backed Salamander",Approved,Not Present (Historical Report),Native,,Breeder,,
ACAD-1444,Acadia National Park,Amphibian,Caudata,Salamandridae,Notophthalmus viridescens,"Common Newt, Eastern Newt, Ebbet, Red Eft, Red-Spotted Newt",Approved,Present,Native,Uncommon,Breeder,,
ARCH-1284,Arches National Park,Amphibian,Anura,Bufonidae,Bufo punctatus,Red-Spotted Toad,Approved,Present,Native,Common,Breeder,,
ARCH-1285,Arches National Park,Amphibian,Anura,Bufonidae,Bufo woodhousii,Woodhouse's Toad,Approved,Present,Native,Common,Breeder,,
ARCH-1286,Arches National Park,Amphibian,Anura,Hylidae,Hyla arenicolor,Canyon Treefrog,Approved,Not Confirmed,Native,,,,
ARCH-1287,Arches National Park,Amphibian,Anura,Ranidae,Rana catesbeiana,American Bullfrog,Approved,Present,Not Native,Common,Breeder,,
ARCH-1288,Arches National Park,Amphibian,Anura,Ranidae,Rana pipiens,Northern Leopard Frog,Approved,Present,Native,Unknown,,,
ARCH-1289,Arches National Park,Amphibian,Anura,Scaphiopodidae,Spea intermontana,Great Basin Spadefoot,Approved,Present,Native,Unknown,Breeder,,
ARCH-1290,Arches National Park,Amphibian,Anura,Scaphiopodidae,Spea multiplicata,Mexican Spadefoot,Approved,Not Confirmed,Native,,,,
ARCH-1291,Arches National Park,Amphibian,Caudata,Ambystomatidae,Ambystoma tigrinum,Tiger Salamander,Approved,Not Confirmed,Native,,,,
BADL-1316,Badlands National Park,Amphibian,Anura,Bufonidae,Bufo cognatus,Great Plains Toad,Approved,Present,Native,Common,Breeder,,
BADL-1317,Badlands National Park,Amphibian,Anura,Bufonidae,Bufo woodhousii,Woodhouse's Toad,Approved,Present,Native,Common,Breeder,,
BADL-1318,Badlands National Park,Amphibian,Anura,Hylidae,Pseudacris maculata,Boreal Chorus Frog,Approved,Not Confirmed,Native,,,,
BADL-1319,Badlands National Park,Amphibian,Anura,Hylidae,Pseudacris triseriata,"Chorus Frog, Striped Chorus Frog",Approved,Not Confirmed,Native,,,,
BADL-1320,Badlands National Park,Amphibian,Anura,Ranidae,Rana blairi,Plains Leopard Frog,Approved,Not Confirmed,Native,,,,
BADL-1321,Badlands National Park,Amphibian,Anura,Ranidae,Rana catesbeiana,Bullfrog,Approved,Not Present,Unknown,,,,
BADL-1322,Badlands National Park,Amphibian,Anura,Ranidae,Rana pipiens,Northern Leopard Frog,Approved,Present,Native,Common,Breeder,,
BADL-1323,Badlands National Park,Amphibian,Anura,Scaphiopodidae,Spea bombifrons,Plains Spadefoot,Approved,Present,Native,Common,Breeder,,
BADL-1324,Badlands National Park,Amphibian,Caudata,,Caudata,Western Salamander,In Review,,,,,,
BADL-1325,Badlands National Park,Amphibian,Caudata,Ambystomatidae,Ambystoma tigrinum,Tiger Salamander,Approved,Present,Native,Common,Breeder,,
BIBE-1566,Big Bend National Park,Amphibian,Anura,Bufonidae,Bufo debilis,Western Green Toad,Approved,Present,Native,Common,Breeder,,
BIBE-1567,Big Bend National Park,Amphibian,Anura,Bufonidae,Bufo punctatus,Red-Spotted Toad,Approved,Present,Native,Common,Breeder,,
BIBE-1568,Big Bend National Park,Amphibian,Anura,Bufonidae,Bufo speciosus,Texas Toad,Approved,Present,Native,Common,Breeder,,
BIBE-1569,Big Bend National Park,Amphibian,Anura,Bufonidae,Bufo woodhousii,Southwestern Woodhouse's Toad,Approved,Not Present (Historical Report),Native,,,,
BIBE-1570,Big Bend National Park,Amphibian,Anura,Eleutherodactylidae,Eleutherodactylus guttilatus,Spotted Chirping Frog,Approved,Present,Native,Rare,Breeder,,
BIBE-1571,Big Bend National Park,Amphibian,Anura,Hylidae,Hyla arenicolor,Canyon Treefrog,Approved,Present,Native,Common,Breeder,,
BIBE-1572,Big Bend National Park,Amphibian,Anura,Hylidae,Hyla cinerea,Green Treefrog,Approved,Present,Not Native,Common,Breeder,,
BIBE-1573,Big Bend National Park,Amphibian,Anura,Microhylidae,Gastrophryne olivacea,Great Plains Narrow-Mouthed Toad,Approved,Present,Native,Common,Breeder,,
BIBE-1574,Big Bend National Park,Amphibian,Anura,Ranidae,Rana berlandieri,Rio Grande Leopard Frog,Approved,Present,Native,Common,Breeder,,
BIBE-1575,Big Bend National Park,Amphibian,Anura,Ranidae,Rana catesbeiana,American Bullfrog,Approved,Present,Not Native,Common,Breeder,,
BIBE-1576,Big Bend National Park,Amphibian,Anura,Scaphiopodidae,Scaphiopus couchii,Couch's Spadefoot,Approved,Present,Native,Common,Breeder,Species of Concern,
BIBE-1577,Big Bend National Park,Amphibian,Anura,Scaphiopodidae,Spea multiplicata,Mexican Spadefoot,Approved,Present,Native,Rare,Breeder,,
BIBE-1578,Big Bend National Park,Amphibian,Caudata,Ambystomatidae,Ambystoma tigrinum,Barred Tiger Salamander,Approved,Not Present (Historical Report),Native,,,,
BISC-1301,Biscayne National Park,Amphibian,Anura,Bufonidae,Bufo marinus,"Cane Toad, Giant Toad, Marine Toad",Approved,Present,Not Native,Common,Resident,,
BISC-1302,Biscayne National Park,Amphibian,Anura,Bufonidae,Bufo terrestris,Southern Toad,Approved,Present,Native,Uncommon,Resident,,
BISC-1303,Biscayne National Park,Amphibian,Anura,Eleutherodactylidae,Eleutherodactylus planirostris planirostris,Greenhouse Frog,Approved,Present,Not Native,Common,Resident,,
BISC-1304,Biscayne National Park,Amphibian,Anura,Hylidae,Hyla cinerea,"Green Tree Frog, Green Treefrog",Approved,Present,Native,Abundant,Resident,,
BISC-1305,Biscayne National Park,Amphibian,Anura,Hylidae,Hyla squirella,Squirrel Treefrog,Approved,Present,Native,Abundant,Resident,,
BISC-1306,Biscayne National Park,Amphibian,Anura,Hylidae,Osteopilus septentrionalis,Cuban Treefrog,Approved,Present,Not Native,Common,Resident,,
BISC-1307,Biscayne National Park,Amphibian,Anura,Microhylidae,Gastrophryne carolinensis,Eastern Narrow-Mouthed Toad,Approved,Present,Native,Common,Resident,,
BISC-1308,Biscayne National Park,Amphibian,Anura,Ranidae,Rana sphenocephala,Southern Leopard Frog,Approved,Present,Native,Common,Resident,,
BLCA-1253,Black Canyon of the Gunnison National Park,Amphibian,Anura,Ranidae,Rana pipiens,Northern Leopard Frog,Approved,Not Confirmed,Native,,,,
BLCA-1254,Black Canyon of the Gunnison National Park,Amphibian,Caudata,Ambystomatidae,Ambystoma tigrinum,Tiger Salamander,Approved,Present,Native,Uncommon,Breeder,,
BRCA-1306,Bryce Canyon National Park,Amphibian,Anura,Hylidae,Pseudacris triseriata,Western Chorus Frog,Approved,Not Confirmed,Native,,,,
BRCA-1307,Bryce Canyon National Park,Amphibian,Anura,Ranidae,Rana pipiens,Northern Leopard Frog,Approved,Present,Native,Rare,Breeder,,
BRCA-1308,Bryce Canyon National Park,Amphibian,Anura,Scaphiopodidae,Spea intermontana,Great Basin Spadefoot,Approved,Present,Native,Unknown,Breeder,,
BRCA-1309,Bryce Canyon National Park,Amphibian,Caudata,Ambystomatidae,Ambystoma tigrinum,Tiger Salamander,Approved,Present,Native,Unknown,,,
CANY-1318,Canyonlands National Park,Amphibian,Anura,Bufonidae,Bufo punctatus,Red-Spotted Toad,Approved,Present,Native,Common,Breeder,,
CANY-1319,Canyonlands National Park,Amphibian,Anura,Bufonidae,Bufo woodhousii,Woodhouse's Toad,Approved,Present,Native,Common,Breeder,,
CANY-1320,Canyonlands National Park,Amphibian,Anura,Hylidae,Hyla arenicolor,Canyon Treefrog,Approved,Not Confirmed,Native,,,,
CANY-1321,Canyonlands National Park,Amphibian,Anura,Ranidae,Rana catesbeiana,American Bullfrog,Approved,Present,Not Native,Common,Breeder,,
CANY-1322,Canyonlands National Park,Amphibian,Anura,Ranidae,Rana pipiens,Northern Leopard Frog,Approved,Present,Native,Uncommon,Breeder,,
CANY-1323,Canyonlands National Park,Amphibian,Anura,Scaphiopodidae,Spea intermontana,Great Basin Spadefoot,Approved,Present,Native,Uncommon,Breeder,,
CANY-1324,Canyonlands National Park,Amphibian,Caudata,Ambystomatidae,Ambystoma tigrinum,Tiger Salamander,Approved,Present,Native,Uncommon,Breeder,,
CARE-1342,Capitol Reef National Park,Amphibian,Anura,Bufonidae,Bufo punctatus,Red-Spotted Toad,Approved,Present,Native,Abundant,Breeder,,
CARE-1343,Capitol Reef National Park,Amphibian,Anura,Bufonidae,Bufo woodhousii,Woodhouse's Toad,Approved,Present,Native,Common,Breeder,,
CARE-1344,Capitol Reef National Park,Amphibian,Anura,Hylidae,Hyla arenicolor,Canyon Treefrog,Approved,Present,Native,Common,Breeder,,
CARE-1345,Capitol Reef National Park,Amphibian,Anura,Ranidae,Rana pipiens,Northern Leopard Frog,Approved,Present,Native,Unknown,Breeder,,
CARE-1346,Capitol Reef National Park,Amphibian,Anura,Scaphiopodidae,Spea intermontana,Great Basin Spadefoot,Approved,Present,Native,Common,Breeder,,
CARE-1347,Capitol Reef National Park,Amphibian,Caudata,Ambystomatidae,Ambystoma tigrinum,Tiger Salamander,Approved,Not Confirmed,Native,,,,
CAVE-1521,Carlsbad Caverns National Park,Amphibian,Anura,Bufonidae,Bufo cognatus,Great Plains Toad,Approved,Present,Native,Unknown,Breeder,,
CAVE-1522,Carlsbad Caverns National Park,Amphibian,Anura,Bufonidae,Bufo debilis,Western Green Toad,Approved,Present,Native,Unknown,Breeder,,
CAVE-1523,Carlsbad Caverns National Park,Amphibian,Anura,Bufonidae,Bufo punctatus,Red-Spotted Toad,Approved,Present,Native,Unknown,Breeder,,
CAVE-1524,Carlsbad Caverns National Park,Amphibian,Anura,Bufonidae,Bufo speciosus,Texas Toad,Approved,Present,Native,Unknown,Breeder,,
CAVE-1525,Carlsbad Caverns National Park,Amphibian,Anura,Bufonidae,Bufo woodhousii,Woodhouse's Toad,Approved,Not Confirmed,Native,,,,
CAVE-1526,Carlsbad Caverns National Park,Amphibian,Anura,Craugastoridae,Eleutherodactylus augusti,Balcones Barking Frog,Approved,Not Confirmed,Native,,,,
CAVE-1527,Carlsbad Caverns National Park,Amphibian,Anura,Hylidae,Acris crepitans,Blanchard's Cricket Frog,Approved,Not Present (Historical Report),Native,,,,
CAVE-1528,Carlsbad Caverns National Park,Amphibian,Anura,Microhylidae,Gastrophryne olivacea,Great Plains Narrow-Mouthed Toad,Approved,Not Confirmed,Native,,,,
CAVE-1529,Carlsbad Caverns National Park,Amphibian,Anura,Ranidae,Rana berlandieri,Rio Grande Leopard Frog,Approved,Present,Native,Unknown,Breeder,,
CAVE-1530,Carlsbad Caverns National Park,Amphibian,Anura,Ranidae,Rana blairi,Plains Leopard Frog,Approved,Not Confirmed,Native,,,,
CAVE-1531,Carlsbad Caverns National Park,Amphibian,Anura,Ranidae,Rana catesbeiana,American Bullfrog,Approved,Present,Not Native,Common,Breeder,,
CAVE-1532,Carlsbad Caverns National Park,Amphibian,Anura,Scaphiopodidae,Scaphiopus couchii,Couch's Spadefoot,Approved,Present,Native,Unknown,Breeder,Species of Concern,
CAVE-1533,Carlsbad Caverns National Park,Amphibian,Anura,Scaphiopodidae,Spea bombifrons,Plains Spadefoot,Approved,Not Confirmed,Native,,,,
CAVE-1534,Carlsbad Caverns National Park,Amphibian,Anura,Scaphiopodidae,Spea multiplicata,Mexican Spadefoot,Approved,Present,Native,Unknown,Breeder,,
CAVE-1535,Carlsbad Caverns National Park,Amphibian,Caudata,Ambystomatidae,Ambystoma tigrinum,Barred Tiger Salamander,Approved,Not Confirmed,Unknown,,,,
CHIS-1412,Channel Islands National Park,Amphibian,Anura,Hylidae,Hyla regilla,Pacific Treefrog,Approved,Present,Native,Common,Breeder,,
CHIS-1413,Channel Islands National Park,Amphibian,Anura,Ranidae,Rana aurora,Red-Legged Frog,Approved,Not Present (Historical Report),Not Native,,,,
CHIS-1414,Channel Islands National Park,Amphibian,Caudata,Plethodontidae,Batrachoseps nigriventris,Black-Bellied Slender Salamander,Approved,Present,Native,Uncommon,Breeder,Species of Concern,
CHIS-1415,Channel Islands National Park,Amphibian,Caudata,Plethodontidae,Batrachoseps pacificus,Pacific Slender Salamander,Approved,Present,Native,Common,Breeder,Species of Concern,
CONG-1289,Congaree National Park,Amphibian,Anura,Bufonidae,Anaxyrus terrestris,Southern Toad,Approved,Present,Native,Unknown,,,
CONG-1290,Congaree National Park,Amphibian,Anura,Hylidae,Acris crepitans,Northern Cricket Frog,Approved,Present,Native,Unknown,,,
CONG-1291,Congaree National Park,Amphibian,Anura,Hylidae,Acris gryllus,Southern Cricket Frog,Approved,Present,Native,Unknown,,,
CONG-1292,Congaree National Park,Amphibian,Anura,Hylidae,Acris gryllus gryllus,Southern Cricket Frog,Approved,Not Confirmed,Native,,,,
CONG-1293,Congaree National Park,Amphibian,Anura,Hylidae,Hyla chrysoscelis,Cope's Gray Treefrog,Approved,Present,Native,Unknown,,,
CONG-1294,Congaree National Park,Amphibian,Anura,Hylidae,Hyla cinerea,Green Treefrog,Approved,Present,Native,Unknown,,,
CONG-1295,Congaree National Park,Amphibian,Anura,Hylidae,Hyla femoralis,Pine Woods Treefrog,Approved,Present,Native,Unknown,,,
CONG-1296,Congaree National Park,Amphibian,Anura,Hylidae,Hyla gratiosa,Barking Treefrog,Approved,Present,Native,Unknown,,,
CONG-1297,Congaree National Park,Amphibian,Anura,Hylidae,Hyla squirella,Squirrel Treefrog,Approved,Present,Native,Unknown,,,
CONG-1298,Congaree National Park,Amphibian,Anura,Hylidae,Hyla versicolor,Gray Treefrog,Approved,Present,Native,Unknown,,,
CONG-1299,Congaree National Park,Amphibian,Anura,Hylidae,Pseudacris,"Chorus Frogs, Spring Peepers",In Review,,,,,,
CONG-1300,Congaree National Park,Amphibian,Anura,Hylidae,Pseudacris brimleyi,Brimley's Chorus Frog,Approved,Present,Native,Unknown,,,
CONG-1301,Congaree National Park,Amphibian,Anura,Hylidae,Pseudacris crucifer,Spring Peeper,Approved,Present,Native,Unknown,,,
CONG-1302,Congaree National Park,Amphibian,Anura,Hylidae,Pseudacris crucifer crucifer,Northern Spring Peeper,Approved,Not Confirmed,Native,,,,
CONG-1303,Congaree National Park,Amphibian,Anura,Hylidae,Pseudacris feriarum,"Southeastern Chorus Frog, Upland Chorus Frog",Approved,Present,Native,Unknown,,,
CONG-1304,Congaree National Park,Amphibian,Anura,Hylidae,Pseudacris nigrita,Southern Chorus Frog,Approved,Present,Native,Unknown,,,
CONG-1305,Congaree National Park,Amphibian,Anura,Hylidae,Pseudacris ocularis,Little Grass Frog,Approved,Not Confirmed,Native,,,,
CONG-1306,Congaree National Park,Amphibian,Anura,Hylidae,Pseudacris ornata,Ornate Chorus Frog,Approved,Present,Native,Unknown,,,
CONG-1307,Congaree National Park,Amphibian,Anura,Microhylidae,Gastrophryne carolinensis,Eastern Narrowmouth Toad,Approved,Present,Native,Unknown,,,
CONG-1308,Congaree National Park,Amphibian,Anura,Ranidae,Lithobates catesbeianus,American Bullfrog,Approved,Present,Native,Unknown,,,
CONG-1309,Congaree National Park,Amphibian,Anura,Ranidae,Lithobates clamitans,Green Frog,Approved,Present,Native,Unknown,,,
CONG-1310,Congaree National Park,Amphibian,Anura,Ranidae,Lithobates clamitans clamitans,Bronze Frog,Approved,Present,Native,Unknown,,,
CONG-1311,Congaree National Park,Amphibian,Anura,Ranidae,Lithobates heckscheri,River Frog,Approved,Present,Native,Unknown,,,
CONG-1312,Congaree National Park,Amphibian,Anura,Ranidae,Lithobates palustris,Pickerel Frog,Approved,Present,Native,Unknown,,,
CONG-1313,Congaree National Park,Amphibian,Anura,Ranidae,Lithobates sphenocephalus,Southern Leopard Frog,Approved,Present,Native,Unknown,,,
CONG-1314,Congaree National Park,Amphibian,Anura,Ranidae,Lithobates virgatipes,Carpenter Frog,Approved,Present,Native,Unknown,,,
CONG-1315,Congaree National Park,Amphibian,Anura,Ranidae,Rana,"Brown Frogs, True Frogs",In Review,,,,,,
CONG-1316,Congaree National Park,Amphibian,Anura,Scaphiopodidae,Scaphiopus holbrookii,Eastern Spadefoot,Approved,Present,Native,Unknown,,,
CONG-1317,Congaree National Park,Amphibian,Caudata,Ambystomatidae,Ambystoma mabeei,Mabee's Salamander,Approved,Not Confirmed,Native,,,,
CONG-1318,Congaree National Park,Amphibian,Caudata,Ambystomatidae,Ambystoma opacum,Marbled Salamander,Approved,Present,Native,Unknown,,,
CONG-1319,Congaree National Park,Amphibian,Caudata,Ambystomatidae,Ambystoma talpoideum,Mole Salamander,Approved,Present,Native,Unknown,,,
CONG-1320,Congaree National Park,Amphibian,Caudata,Amphiumidae,Amphiuma means,Two-Toed Amphiuma,Approved,Not Confirmed,Native,,,,
CONG-1321,Congaree National Park,Amphibian,Caudata,Plethodontidae,Desmognathus,"Dusky Salamanders, Seal Salamanders",In Review,,,,,,
CONG-1322,Congaree National Park,Amphibian,Caudata,Plethodontidae,Desmognathus auriculatus,Southern Dusky Salamander,Approved,Present,Native,Unknown,,,
CONG-1323,Congaree National Park,Amphibian,Caudata,Plethodontidae,Eurycea,Brook Salamanders,In Review,,,,,,
CONG-1324,Congaree National Park,Amphibian,Caudata,Plethodontidae,Eurycea guttolineata,Three-Lined Salamander,Approved,Present,Native,Unknown,,,
CONG-1325,Congaree National Park,Amphibian,Caudata,Plethodontidae,Eurycea quadridigitata,Dwarf Salamander,Approved,Present,Native,Unknown,,,
CONG-1326,Congaree National Park,Amphibian,Caudata,Plethodontidae,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,Approved,Present,Native,Unknown,,,
CONG-1327,Congaree National Park,Amphibian,Caudata,Plethodontidae,Pseudotriton montanus,Eastern Mud Salamander,Approved,Present,Native,Unknown,,,
CONG-1328,Congaree National Park,Amphibian,Caudata,Proteidae,Necturus punctatus,Dwarf Waterdog,Approved,Present,Native,Unknown,,,
CONG-1329,Congaree National Park,Amphibian,Caudata,Salamandridae,Notophthalmus viridescens,Eastern Newt,Approved,Not Confirmed,Native,,,,
CONG-1330,Congaree National Park,Amphibian,Caudata,Sirenidae,Siren,Sirens,In Review,,,,,,
CONG-1331,Congaree National Park,Amphibian,Caudata,Sirenidae,Siren lacertina,Greater Siren,Approved,Present,Native,Unknown,,,
CRLA-1371,Crater Lake National Park,Amphibian,Anura,Bufonidae,Bufo boreas,Western Toad,Approved,Present,Native,Common,Breeder,Species of Concern,
CRLA-1372,Crater Lake National Park,Amphibian,Anura,Hylidae,Hyla,"Holarctic Treefrogs, Treefrogs",In Review,,,,,,
CRLA-1373,Crater Lake National Park,Amphibian,Anura,Hylidae,Pseudacris regilla,Pacific Treefrog(Chorus Frog),Approved,Present,Native,Unknown,Breeder,,
CRLA-1374,Crater Lake National Park,Amphibian,Anura,Leiopelmatidae,Ascaphus truei,Tailed Frog,Approved,Present,Native,Unknown,Breeder,Species of Concern,
CRLA-1375,Crater Lake National Park,Amphibian,Anura,Ranidae,Rana aurora,"Northern Red-Legged Frog, Red-Legged Frog",Approved,Not Confirmed,Native,,,,
CRLA-1376,Crater Lake National Park,Amphibian,Anura,Ranidae,Rana boylii,Foothill Yellow-Legged Frog,Approved,Not Confirmed,Native,,,Under Review,
CRLA-1377,Crater Lake National Park,Amphibian,Anura,Ranidae,Rana cascadae,"Cascade Frog, Cascades Frog",Approved,Present,Native,Unknown,Breeder,Under Review,
CRLA-1378,Crater Lake National Park,Amphibian,Anura,Ranidae,Rana catesbeiana,Bullfrog,Approved,Not Present (False Report),Not Native,,,,
CRLA-1379,Crater Lake National Park,Amphibian,Anura,Ranidae,Rana pretiosa,Spotted Frog,Approved,Not Confirmed,Native,,,Threatened,
CRLA-1380,Crater Lake National Park,Amphibian,Caudata,Ambystomatidae,Ambystoma,Mole Salamanders,In Review,,,,,,
CRLA-1381,Crater Lake National Park,Amphibian,Caudata,Ambystomatidae,Ambystoma gracile,Northwestern Salamander,Approved,Not Confirmed,Native,,,Species of Concern,
CRLA-1382,Crater Lake National Park,Amphibian,Caudata,Ambystomatidae,Ambystoma macrodactylum,Long-Toed Salamander,Approved,Present,Native,Common,Breeder,,
CRLA-1383,Crater Lake National Park,Amphibian,Caudata,Ambystomatidae,Dicamptodon tenebrosus,Pacific Giant Salamander,Approved,Not Confirmed,Native,,,Species of Concern,
CRLA-1384,Crater Lake National Park,Amphibian,Caudata,Plethodontidae,Aneides ferreus,Clouded Salamander,Approved,Not Confirmed,Native,,,,
CRLA-1385,Crater Lake National Park,Amphibian,Caudata,Plethodontidae,Ensatina eschscholtzii,Ensatina,Approved,Not Confirmed,Native,,,,
CRLA-1386,Crater Lake National Park,Amphibian,Caudata,Salamandridae,Taricha granulosa,Rough-Skinned Newt,Approved,Present,Native,,,Species of Concern,
CRLA-1387,Crater Lake National Park,Amphibian,Caudata,Salamandridae,Taricha granulosa granulosa,Northern Roughskin Newt,Approved,Not Confirmed,Native,,,,
CRLA-1388,Crater Lake National Park,Amphibian,Caudata,Salamandridae,Taricha granulosa mazamae,"Crater Lake Newt, Rough-Skinned Newt",Approved,Present,Native,,,,
CRLA-1389,Crater Lake National Park,Amphibian,Caudata,Salamandridae,Taricha torosa,California Newt,Approved,Not Confirmed,Native,,,,
CRLA-1390,Crater Lake National Park,Amphibian,Caudata,Salamandridae,Triturus torosus,Pacific Coast Newt,In Review,,,,,,
CUVA-1316,Cuyahoga Valley National Park,Amphibian,Anura,Bufonidae,Bufo americanus,American Toad,Approved,Present,Native,Abundant,Breeder,,
CUVA-1317,Cuyahoga Valley National Park,Amphibian,Anura,Hylidae,Hyla versicolor,Gray Treefrog,Approved,Present,Native,Common,Breeder,,
CUVA-1318,Cuyahoga Valley National Park,Amphibian,Anura,Hylidae,Pseudacris crucifer crucifer,Northern Spring Peeper,Approved,Present,Native,Abundant,Breeder,,
CUVA-1319,Cuyahoga Valley National Park,Amphibian,Anura,Hylidae,Pseudacris triseriata,Western Chorus Frog,Approved,Present,Native,Uncommon,Breeder,,
CUVA-1320,Cuyahoga Valley National Park,Amphibian,Anura,Ranidae,Rana catesbeiana,Bullfrog,Approved,Present,Native,Common,Breeder,,
CUVA-1321,Cuyahoga Valley National Park,Amphibian,Anura,Ranidae,Rana clamitans,Green Frog,Approved,Present,Native,Abundant,Breeder,,
CUVA-1322,Cuyahoga Valley National Park,Amphibian,Anura,Ranidae,Rana palustris,Pickerel Frog,Approved,Present,Native,Uncommon,Breeder,,
CUVA-1323,Cuyahoga Valley National Park,Amphibian,Anura,Ranidae,Rana pipiens,Northern Leopard Frog,Approved,Present,Native,Common,Breeder,,
CUVA-1324,Cuyahoga Valley National Park,Amphibian,Anura,Ranidae,Rana sylvatica,Wood Frog,Approved,Present,Native,Common,Breeder,,
CUVA-1325,Cuyahoga Valley National Park,Amphibian,Caudata,Ambystomatidae,Ambystoma jeffersonianum,Jefferson's Salamander,Approved,Present,Native,Uncommon,Breeder,,
CUVA-1326,Cuyahoga Valley National Park,Amphibian,Caudata,Ambystomatidae,Ambystoma maculatum,Spotted Salamander,Approved,Present,Native,Uncommon,Breeder,,
CUVA-1327,Cuyahoga Valley National Park,Amphibian,Caudata,Ambystomatidae,Ambystoma opacum,Marbled Salamander,Approved,Not Confirmed,Native,,,,
CUVA-1328,Cuyahoga Valley National Park,Amphibian,Caudata,Ambystomatidae,Ambystoma texanum,Small-Mouthed Salamander,Approved,Not Confirmed,Native,,,,
CUVA-1329,Cuyahoga Valley National Park,Amphibian,Caudata,Ambystomatidae,Ambystoma tigrinum,Eastern Tiger Salamander,Approved,Not Confirmed,Native,,,,
CUVA-1330,Cuyahoga Valley National Park,Amphibian,Caudata,Plethodontidae,Desmognathus fuscus,Northern Dusky Salamander,Approved,Present,Native,Common,Breeder,,
CUVA-1331,Cuyahoga Valley National Park,Amphibian,Caudata,Plethodontidae,Eurycea bislineata,"Northern Two-Lined Salamander, Two-Lined Salamander",Approved,Present,Native,Common,Breeder,,
CUVA-1332,Cuyahoga Valley National Park,Amphibian,Caudata,Plethodontidae,Eurycea longicauda,Long-Tailed Salamander,Approved,Present,Native,Rare,,,
CUVA-1333,Cuyahoga Valley National Park,Amphibian,Caudata,Plethodontidae,Hemidactylium scutatum,Four-Toed Salamander,Approved,Not Confirmed,Native,,,,
CUVA-1334,Cuyahoga Valley National Park,Amphibian,Caudata,Plethodontidae,Plethodon cinereus,Red-Backed Salamander,Approved,Present,Native,Abundant,Breeder,,
CUVA-1335,Cuyahoga Valley National Park,Amphibian,Caudata,Plethodontidae,Plethodon glutinosus,Slimy Salamander,Approved,Present,Native,Common,Breeder,,
CUVA-1336,Cuyahoga Valley National Park,Amphibian,Caudata,Plethodontidae,Plethodon richmondi,Ravine Salamander,Approved,Not Present (Historical Report),Native,,,,
CUVA-1337,Cuyahoga Valley National Park,Amphibian,Caudata,Plethodontidae,Pseudotriton ruber,Red Salamander,Approved,Present,Native,Rare,Breeder,,
CUVA-1338,Cuyahoga Valley National Park,Amphibian,Caudata,Proteidae,Necturus maculosus,Mudpuppy,Approved,Not Confirmed,Native,,,,
CUVA-1339,Cuyahoga Valley National Park,Amphibian,Caudata,Salamandridae,Notophthalmus viridescens,Eastern Newt,Approved,Present,Native,Abundant,Breeder,,
DENA-1222,Denali National Park and Preserve,Amphibian,Anura,Ranidae,Rana sylvatica,Wood Frog,Approved,Present,Native,Unknown,Breeder,,
DEVA-1833,Death Valley National Park,Amphibian,Anura,Bufonidae,Anaxyrus boreas X Anaxyrus punctatus,Hybrid Toads,Approved,Not Confirmed,Unknown,,,,
